L,task,strategy,n_qubits,N_CNOT,N_meas,t_idle,lambda_tot,F_proc_lower
1,bell_prep,static_ghz_chain,2,1,0,0.0,0.02,0.980199
1,lrcx_gate,lrcx_dynamic,3,2,1,5.65,0.2395,0.787021
1,lrcx_gate,lrcx_unitary_ic,3,5,0,0.0,0.1,0.904837
1,bell_prep,entanglement_swapping,2,1,1,2.825,0.13475,0.873934
2,bell_prep,static_ghz_chain,3,3,0,0.0,0.06,0.941765
2,lrcx_gate,lrcx_dynamic,4,3,2,5.65,0.2895,0.748638
2,lrcx_gate,lrcx_unitary_ic,4,9,0,0.0,0.18,0.83527
3,bell_prep,static_ghz_chain,4,5,0,0.0,0.1,0.904837
3,lrcx_gate,lrcx_dynamic,5,4,3,5.65,0.3395,0.712126
3,lrcx_gate,lrcx_unitary_ic,5,13,0,0.0,0.26,0.771052
3,bell_prep,entanglement_swapping,4,3,2,6.475,0.31425,0.730336
4,bell_prep,static_ghz_chain,5,7,0,0.75,0.1625,0.850016
4,lrcx_gate,lrcx_dynamic,6,5,4,5.65,0.3895,0.677395
4,lrcx_gate,lrcx_unitary_ic,6,17,0,0.0,0.34,0.71177
5,bell_prep,static_ghz_chain,6,9,0,2.0,0.24,0.786628
5,lrcx_gate,lrcx_dynamic,7,6,5,5.65,0.4395,0.644359
5,lrcx_gate,lrcx_unitary_ic,7,21,0,0.0,0.42,0.657047
5,bell_prep,entanglement_swapping,6,5,4,10.125,0.52375,0.592295
6,bell_prep,static_ghz_chain,7,11,0,3.75,0.3325,0.717129
6,lrcx_gate,lrcx_dynamic,8,7,6,5.65,0.4895,0.612933
6,lrcx_gate,lrcx_unitary_ic,8,25,0,0.0,0.5,0.606531
7,bell_prep,static_ghz_chain,8,13,0,6.0,0.44,0.644036
7,lrcx_gate,lrcx_dynamic,9,8,7,5.65,0.5395,0.58304
7,lrcx_gate,lrcx_unitary_ic,9,29,0,0.0,0.58,0.559898
7,bell_prep,entanglement_swapping,8,7,6,13.775,0.73325,0.480345
8,bell_prep,static_ghz_chain,9,15,0,8.75,0.5625,0.569783
8,lrcx_gate,lrcx_dynamic,10,9,8,5.65,0.5895,0.554605
8,lrcx_gate,lrcx_unitary_ic,10,33,0,0.0,0.66,0.516851
9,bell_prep,static_ghz_chain,10,17,0,12.0,0.7,0.496585
9,lrcx_gate,lrcx_dynamic,11,10,9,5.65,0.6395,0.527556
9,lrcx_gate,lrcx_unitary_ic,11,37,0,0.0,0.74,0.477114
9,bell_prep,entanglement_swapping,10,9,8,17.425,0.94275,0.389555
10,bell_prep,static_ghz_chain,11,19,0,15.75,0.8525,0.426348
10,lrcx_gate,lrcx_dynamic,12,11,10,5.65,0.6895,0.501827
10,lrcx_gate,lrcx_unitary_ic,12,41,0,0.0,0.82,0.440432
11,bell_prep,static_ghz_chain,12,21,0,20.0,1.02,0.360595
11,lrcx_gate,lrcx_dynamic,13,12,11,5.65,0.7395,0.477353
11,lrcx_gate,lrcx_unitary_ic,13,45,0,0.0,0.9,0.40657
11,bell_prep,entanglement_swapping,12,11,10,21.075,1.15225,0.315925
12,bell_prep,static_ghz_chain,13,23,0,24.75,1.2025,0.300442
12,lrcx_gate,lrcx_dynamic,14,13,12,5.65,0.7895,0.454072
12,lrcx_gate,lrcx_unitary_ic,14,49,0,0.0,0.98,0.375311
13,bell_prep,static_ghz_chain,14,25,0,30.0,1.4,0.246597
13,lrcx_gate,lrcx_dynamic,15,14,13,5.65,0.8395,0.431926
13,lrcx_gate,lrcx_unitary_ic,15,53,0,0.0,1.06,0.346456
13,bell_prep,entanglement_swapping,14,13,12,24.725,1.36175,0.256212
14,bell_prep,static_ghz_chain,15,27,0,35.75,1.6125,0.199389
14,lrcx_gate,lrcx_dynamic,16,15,14,5.65,0.8895,0.410861
14,lrcx_gate,lrcx_unitary_ic,16,57,0,0.0,1.14,0.319819
15,bell_prep,static_ghz_chain,16,29,0,42.0,1.84,0.158817
15,lrcx_gate,lrcx_dynamic,17,16,15,5.65,0.9395,0.390823
15,lrcx_gate,lrcx_unitary_ic,17,61,0,0.0,1.22,0.29523
15,bell_prep,entanglement_swapping,16,15,14,28.375,1.57125,0.207785
